ID,Complaint,Department
1,Bribe was demanded for issuing a building permit in Chromepet,Corruption
2,Construction debris left on South Street blocking traffic,Road Maintenance
3,Streetside electric meter is sparking in Pallavaram,Electricity
4,Speed breakers are missing near the school on Main Road,Road Maintenance
5,Abandoned building near Bazaar Street is unsafe for children,Public Safety
6,Frequent power cuts are occurring in Porur,Electricity
7,Road divider near School Lane is broken,Road Maintenance
8,Speed breakers are missing near the school on Bazaar Street,Road Maintenance
9,Dumping ground near Pallavaram is causing bad odor,Waste Management
10,Huge potholes on Market Road in T Nagar,Road Maintenance
11,Someone demanded a bribe for approval of a document in Nungambakkam,Corruption
12,No water connection provided despite application in Porur,Water Supply
13,Plastic waste dumped near the water body in Perambur,Environment
14,Mid day meal quality is poor at Anna Nagar school,Education
15,Contaminated water is being supplied in Egmore,Water Supply
16,Signboards are missing at the Bypass Road intersection,Traffic
17,Borewell in the panchayat office area has run dry,Water Supply
18,Ambulance service is delayed in Adyar,Health
19,Road divider near Station Road is broken,Road Maintenance
20,A clerk asked for extra money to process ration card in Block C,Corruption
21,Textbooks not distributed on time in Alwarpet schools,Education
22,Water supply has been irregular in Block C for 12 weeks,Water Supply
23,Unsafe construction site near North Street lacks barricades,Public Safety
24,Stray dogs are attacking residents in Kodambakkam,Public Safety
25,Bus stop shelter near Bazaar Street is damaged,Public Transport
26,Broken compound wall near Main Road is a safety hazard,Public Safety
27,Traffic signal timing is too short at Station Road,Traffic
28,Illegal dumping of waste is happening near Market Road,Waste Management
29,Air pollution levels are high near the factory in Porur,Environment
30,Someone demanded a bribe for approval of a document in Alwarpet,Corruption
31,Someone demanded a bribe for approval of a document in the industrial estate,Corruption
32,Traffic signal timing is too short at Main Road,Traffic
33,There is no drinking water in Anna Nagar for the past 4 days,Water Supply
34,Garbage is overflowing near Market Road in Mylapore,Waste Management
35,Leaking pipeline is wasting water on Station Road,Water Supply
36,Frequent traffic congestion on North Street during peak hours,Traffic
37,An officer at the counter is taking bribes for water connection approvals in Alwarpet,Corruption
38,Broken compound wall near Station Road is a safety hazard,Public Safety
39,Bus service is irregular on the Alwarpet route,Public Transport
40,No bus service available to Block C after 8 pm,Public Transport
41,"Street lights remain on during daytime in Mylapore, wasting power",Street Lighting
42,Burning of waste is causing smoke in Phase 2,Environment
43,Hospital in the panchayat office area has no doctors available,Health
44,Primary health center in Egmore is understaffed,Health
45,Traffic signal timing is too short at Market Road,Traffic
46,Road near Church Street has not been repaired after monsoon,Road Maintenance
47,No bus service available to Kolathur after 8 pm,Public Transport
48,Exposed wires near Park Avenue pose a danger to residents,Electricity
49,Encroachment on the lake near Alwarpet is destroying wetlands,Environment
50,Hospital in Alwarpet has no doctors available,Health
51,Hospital in Ambattur has no doctors available,Health
52,Zebra crossing markings have faded on Church Street,Traffic
53,"New street light pole is needed on MG Road, Royapettah",Street Lighting
54,Street light flickers continuously on Church Street,Street Lighting
55,Primary health center in Perambur is understaffed,Health
56,Burning of waste is causing smoke in Velachery,Environment
57,Auto drivers are refusing to use the meter near School Lane,Public Transport
58,School in Velachery lacks proper toilet facilities,Education
59,Textbooks not distributed on time in Guindy schools,Education
60,There is no drinking water in Block C for the past 9 days,Water Supply
61,Encroachment on the lake near near the temple is destroying wetlands,Environment
62,Long waiting times reported at the industrial estate government hospital,Health
63,Bus stop shelter near North Street is damaged,Public Transport
64,Bribe was demanded for issuing a building permit in Adyar,Corruption
65,Textbooks not distributed on time in the industrial estate schools,Education
66,Bribe was demanded for issuing a building permit in the panchayat office area,Corruption
67,Hospital in Ward 12 has no doctors available,Health
68,Segregated waste is being mixed by collection staff in Vadapalani,Waste Management
69,Corruption reported in distribution of government scheme benefits in the housing board colony,Corruption
70,Traffic signal timing is too short at Main Road,Traffic
71,Hospital in the housing board colony has no doctors available,Health
72,Money was demanded for processing a pension application in Sector 5,Corruption
73,Overcrowded classrooms reported in the industrial estate government school,Education
74,Someone demanded a bribe for approval of a document in Perambur,Corruption
75,Bus stop shelter near Main Road is damaged,Public Transport
76,Solar street lights installed in Kodambakkam are non functional,Street Lighting
77,Teacher is absent regularly at the Alwarpet government school,Education
78,Contaminated water is being supplied in Kolathur,Water Supply
79,Open manhole causing danger on Nehru Street in Mylapore,Public Safety
80,No security personnel at the public park in Phase 2,Public Safety
81,Deep pit left uncovered near Station Road in Kodambakkam,Public Safety
82,Long waiting times reported at Sector 5 government hospital,Health
83,School building near School Lane needs urgent repair,Education
84,Road divider near Ring Road is broken,Road Maintenance
85,No science teacher appointed at Vadapalani school for 2 months,Education
86,Burning of waste is causing smoke in the old bus stand area,Environment
87,No bus service available to Mylapore after 8 pm,Public Transport
88,Zebra crossing markings have faded on Church Street,Traffic
89,"No footpath available on Bazaar Street, pedestrians face danger",Road Maintenance
90,Contaminated water is being supplied in Adyar,Water Supply
91,No bus service available to Sector 5 after 8 pm,Public Transport
92,Someone demanded a bribe for approval of a document in Kodambakkam,Corruption
93,Bribe was demanded for issuing a building permit in near the temple,Corruption
94,School in Egmore lacks proper toilet facilities,Education
95,Transformer near Temple Street in Perambur is not working,Electricity
96,Dumping ground near Tambaram is causing bad odor,Waste Management
97,"Street lights remain on during daytime in the housing board colony, wasting power",Street Lighting
98,No traffic police present at busy junction near Station Road,Traffic
99,Illegal dumping of waste is happening near MG Road,Waste Management
100,Dark stretch on Bypass Road due to broken street lights,Street Lighting
101,"Traffic signal is damaged at Ring Road junction, Phase 2",Traffic
102,Bus service is irregular on the Ward 12 route,Public Transport
103,Electric pole near Nehru Street is leaning dangerously,Electricity
104,Electric pole near South Street is leaning dangerously,Electricity
105,Plastic waste dumped near the water body in the main market road,Environment
106,Borewell in the old bus stand area has run dry,Water Supply
107,Dead animal left uncollected on Bypass Road in the old bus stand area,Waste Management
108,Water body near Porur is being polluted by industrial waste,Environment
109,There is no drinking water in Egmore for the past 4 days,Water Supply
110,Solar street lights installed in Ambattur are non functional,Street Lighting
111,"No footpath available on Ring Road, pedestrians face danger",Road Maintenance
112,Bus stop shelter near Gandhi Street is damaged,Public Transport
113,No water connection provided despite application in the government school area,Water Supply
114,Huge potholes on Market Road in Velachery,Road Maintenance
115,Burning of waste is causing smoke in Ambattur,Environment
116,Speed breakers are missing near the school on Church Street,Road Maintenance
