Complaint,Department,Label
Signboards are missing at the Temple Street intersection,Traffic,9
Overhead tank in Anna Nagar has not been cleaned in months,Water Supply,11
Waterlogging occurs on Ring Road during rains,Road Maintenance,7
Billing error in electricity charges for Guindy residents,Electricity,2
Stray dogs are attacking residents in near the temple,Public Safety,5
Dead animal left uncollected on Bazaar Street in Anna Nagar,Waste Management,10
Garbage collection truck has not come to Guindy for 10 days,Waste Management,10
Vaccination camp was cancelled without notice in Egmore,Health,4
Frequent traffic congestion on Church Street during peak hours,Traffic,9
Dumping ground near Block C is causing bad odor,Waste Management,10
Textbooks not distributed on time in Ambattur schools,Education,1
School building near Bazaar Street needs urgent repair,Education,1
Frequent traffic congestion on Main Road during peak hours,Traffic,9
Solar street lights installed in the government school area are non functional,Street Lighting,8
Official at the the panchayat office area office is demanding money for a certificate,Corruption,0
Stray dogs are attacking residents in Kodambakkam,Public Safety,5
No science teacher appointed at Perambur school for 9 months,Education,1
Open manhole causing danger on Bazaar Street in Porur,Public Safety,5
4 street lights have been off for weeks near Ring Road,Street Lighting,8
No specialist doctor visits the T Nagar health center,Health,4
"No footpath available on Church Street, pedestrians face danger",Road Maintenance,7
Ambulance service is delayed in Royapettah,Health,4
2 street lights have been off for weeks near Main Road,Street Lighting,8
Waterlogging occurs on Temple Street during rains,Road Maintenance,7
"Traffic signal is damaged at Market Road junction, the railway station road",Traffic,9
Corruption reported in distribution of government scheme benefits in Phase 2,Corruption,0
Money was demanded for processing a pension application in the industrial estate,Corruption,0
No waste collection service provided in Tambaram colony,Waste Management,10
No traffic police present at busy junction near Bazaar Street,Traffic,9
Illegal tree cutting is happening near Gandhi Street in Ward 12,Environment,3
Unsafe construction site near School Lane lacks barricades,Public Safety,5
There is no drinking water in the main market road for the past 9 days,Water Supply,11
Mid day meal quality is poor at Saidapet school,Education,1
Electric pole near Ring Road is leaning dangerously,Electricity,2
No traffic police present at busy junction near Park Avenue,Traffic,9
No traffic police present at busy junction near School Lane,Traffic,9
New electricity connection is delayed in Nungambakkam,Electricity,2
School in Perambur lacks proper toilet facilities,Education,1
Bus conductor misbehaved with passengers on Ambattur route,Public Transport,6
No science teacher appointed at Royapettah school for 8 months,Education,1
Bus stop shelter near MG Road is damaged,Public Transport,6
Waterlogging occurs on Station Road during rains,Road Maintenance,7
Voltage fluctuation is damaging appliances in Mylapore,Electricity,2
Signboards are missing at the Church Street intersection,Traffic,9
Corruption reported in distribution of government scheme benefits in Royapettah,Corruption,0
Bus conductor misbehaved with passengers on Ward 12 route,Public Transport,6
Street light flickers continuously on Main Road,Street Lighting,8
Illegal tree cutting is happening near Church Street in Egmore,Environment,3
"No footpath available on Station Road, pedestrians face danger",Road Maintenance,7
Billing error in electricity charges for Vadapalani residents,Electricity,2
Traffic signal timing is too short at Station Road,Traffic,9
Open manhole causing danger on Main Road in Ambattur,Public Safety,5
Overcrowded buses are running on the the panchayat office area route,Public Transport,6
No science teacher appointed at Block C school for 3 months,Education,1
Mid day meal quality is poor at Kodambakkam school,Education,1
Billing error in electricity charges for Pallavaram residents,Electricity,2
Water supply has been irregular in the government school area for 3 weeks,Water Supply,11
Exposed wires near MG Road pose a danger to residents,Electricity,2
Illegal tree cutting is happening near Park Avenue in Anna Nagar,Environment,3
Bus conductor misbehaved with passengers on Sector 5 route,Public Transport,6
Illegal parking is causing traffic jams on Park Avenue,Traffic,9
Bus service is irregular on the Royapettah route,Public Transport,6
Unsafe construction site near Bypass Road lacks barricades,Public Safety,5
Dead animal left uncollected on South Street in the old bus stand area,Waste Management,10
No specialist doctor visits the the housing board colony health center,Health,4
Bribe was demanded for issuing a building permit in Pallavaram,Corruption,0
Bus frequency has reduced drastically on Chromepet route,Public Transport,6
Broken compound wall near Market Road is a safety hazard,Public Safety,5
Frequent traffic congestion on Market Road during peak hours,Traffic,9
"No signal at the school crossing near Market Road, the main market road",Traffic,9
Abandoned building near Bazaar Street is unsafe for children,Public Safety,5
Mid day meal quality is poor at Vadapalani school,Education,1
Huge potholes on Bazaar Street in the railway station road,Road Maintenance,7
Auto drivers are refusing to use the meter near Bypass Road,Public Transport,6
Overcrowded buses are running on the the government school area route,Public Transport,6
Hospital in Vadapalani has no doctors available,Health,4
Corruption reported in distribution of government scheme benefits in Ward 12,Corruption,0
Abandoned building near Park Avenue is unsafe for children,Public Safety,5
Solar street lights installed in the housing board colony are non functional,Street Lighting,8
Teacher is absent regularly at the Alwarpet government school,Education,1
Solar street lights installed in Kodambakkam are non functional,Street Lighting,8
Electricity is unavailable in Royapettah for the past 8 days,Electricity,2
Electric pole near South Street is leaning dangerously,Electricity,2
No security personnel at the public park in Vadapalani,Public Safety,5
